id,taxonomic_group,name,ncbi_taxid,add_time
1,1,"Shewanella oneidensis MR-1",0,"2023-05-27 10:25:42"
2,1,"Shewanella putrefaciens CN-32",0,"2023-05-27 10:25:42"
3,1,"Shewanella sp W3-18-1",0,"2023-05-27 10:25:42"
4,1,"Shewanella sp ANA-3",0,"2023-05-27 10:25:42"
5,1,"Shewanella sp MR-4",0,"2023-05-27 10:25:42"
6,1,"Shewanella sp MR-7",0,"2023-05-27 10:25:42"
7,1,"Shewanella baltica OS155",0,"2023-05-27 10:25:42"
8,1,"Shewanella denitrificans OS217",0,"2023-05-27 10:25:42"
9,1,"Shewanella frigidimarina NCIMB 400",0,"2023-05-27 10:25:42"
10,1,"Shewanella amazonensis SB2B",0,"2023-05-27 10:25:42"
11,1,"Shewanella loihica PV-4",0,"2023-05-27 10:25:42"
12,1,"Shewanella pealeana ATCC 700345",0,"2023-05-27 10:25:42"
13,1,"Shewanella halifaxensis HAW-EB4",0,"2023-05-27 10:25:42"
14,1,"Shewanella piezotolerans WP3",0,"2023-05-27 10:25:42"
15,1,"Shewanella sediminis HAW-EB3",0,"2023-05-27 10:25:42"
16,1,"Shewanella woodyi ATCC 51908",0,"2023-05-27 10:25:42"
26,2,"Staphylococcus aureus subsp. aureus N315",0,"2023-05-27 10:25:42"
27,2,"Staphylococcus capitis SK14",0,"2023-05-27 10:25:42"
28,2,"Staphylococcus epidermidis ATCC 12228",0,"2023-05-27 10:25:42"
29,2,"Staphylococcus carnosus subsp. carnosus TM300",0,"2023-05-27 10:25:42"
30,2,"Staphylococcus haemolyticus JCSC1435",0,"2023-05-27 10:25:42"
31,2,"Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305",0,"2023-05-27 10:25:42"
32,2,"Macrococcus caseolyticus JCSC5402",0,"2023-05-27 10:25:42"
33,3,"Streptococcus pneumoniae TIGR4",0,"2023-05-27 10:25:42"
34,3,"Streptococcus equi subsp. zooepidemicus MGCS10565",0,"2023-05-27 10:25:42"
35,3,"Streptococcus gordonii str. Challis substr. CH1",0,"2023-05-27 10:25:42"
36,3,"Streptococcus thermophilus CNRZ1066",0,"2023-05-27 10:25:42"
37,3,"Streptococcus mutans UA159",0,"2023-05-27 10:25:42"
38,3,"Streptococcus pyogenes M1 GAS",0,"2023-05-27 10:25:42"
39,3,"Streptococcus sanguinis SK36",0,"2023-05-27 10:25:42"
40,3,"Streptococcus agalactiae 2603V / R",0,"2023-05-27 10:25:42"
41,4,"Thermotoga maritima MSB8",0,"2023-05-27 10:25:43"
42,4,"Thermotoga sp. RQ2",0,"2023-05-27 10:25:43"
43,4,"Thermotoga neapolitana DSM 4359",0,"2023-05-27 10:25:43"
44,4,"Thermotoga petrophila RKU-1",0,"2023-05-27 10:25:43"
45,4,"Thermotoga naphthophila RKU-10",0,"2023-05-27 10:25:43"
46,4,"Thermotoga lettingae TMO",0,"2023-05-27 10:25:43"
47,4,"Thermosipho africanus TCF52B",0,"2023-05-27 10:25:43"
48,4,"Thermosipho melanesiensis BI429",0,"2023-05-27 10:25:43"
49,4,"Fervidobacterium nodosum Rt17-B1",0,"2023-05-27 10:25:43"
50,4,"Petrotoga mobilis SJ95",0,"2023-05-27 10:25:43"
51,4,"Thermotogales bacterium TBF 19.5.1",0,"2023-05-27 10:25:43"
52,5,"Bacillus subtilis subsp. subtilis str. 168",0,"2023-05-27 10:25:43"
53,5,"Bacillus amyloliquefaciens FZB42",0,"2023-05-27 10:25:43"
54,5,"Bacillus pumilus SAFR-032",0,"2023-05-27 10:25:43"
55,5,"Bacillus licheniformis DSM 13",0,"2023-05-27 10:25:43"
56,5,"Anoxybacillus flavithermus WK1",0,"2023-05-27 10:25:43"
57,5,"Geobacillus kaustophilus HTA426",0,"2023-05-27 10:25:43"
58,5,"Bacillus cereus ATCC 14579",0,"2023-05-27 10:25:43"
59,5,"Bacillus halodurans C-125",0,"2023-05-27 10:25:43"
